ticket_id,photo,lat,long,timestamp,type,subdistrict,district,car_count
2022-BFNYDM,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/231f6ba9fbeddcb106ca9a5fcd855209947461e2.jpg,13.81669,100.72213,2022-05-30 12:22:38.418621+00:00,"{จราจร,ถนน}",แขวงมีนบุรี,เขตมีนบุรี,5
2022-P9QEYB,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/49f4241f67b004dc3b8296b04b9d7b8274e763f0.jpg,13.84165,100.70452,2022-05-31 00:05:40.984300+00:00,"{จราจร,ถนน}",แขวงบางชัน,เขตคลองสามวา,2
2022-ARNM2E,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/3378f5f5b6764c4bafc061714d2e85fc4276b091.jpg,13.84165,100.70452,2022-05-31 00:05:44.980080+00:00,"{จราจร,ถนน}",แขวงบางชัน,เขตคลองสามวา,2
2022-M2EQ8U,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/c84fcaea83e38f433b4fe4e03bd79d6039de616e.jpg,13.84165,100.70452,2022-05-31 00:05:47.738555+00:00,"{จราจร,ถนน}",แขวงบางชัน,เขตคลองสามวา,2
2022-ATU4BL,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/959f6a51ef0160279bfeff8cfa1afc5409cf30a2.jpg,13.88975,100.60707,2022-05-31 01:05:01.739565+00:00,"{สะพาน,ถนน,จราจร}",แขวงอนุสาวรีย์,เขตบางเขน,5
2022-8ZZ22L,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/41e584f3f0e54727994eacd898f0a6ae90099b6c.jpg,13.88975,100.60707,2022-05-31 01:05:05.887808+00:00,"{สะพาน,ถนน,จราจร}",แขวงอนุสาวรีย์,เขตบางเขน,5
2022-KRP47M,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/545caa3cca7154ad3ce8bc1294b2e6b435ae0de5.jpg,13.70604,100.34893,2022-05-31 01:30:40.356301+00:00,{จราจร},แขวงหนองค้างพลู,เขตหนองแขม,6
2022-72FPGY,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/e40109687282f93c3075f2c88b760d076f7f5125.jpg,13.77282,100.46022,2022-05-31 07:35:47.962865+00:00,"{ถนน,จราจร}",แขวงบางขุนศรี,เขตบางกอกน้อย,1
2022-PDA9VX,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/0d4e33a81348d863140a36914fb2a46bf321409c.jpg,13.69921,100.442,2022-05-31 09:10:15.829718+00:00,{จราจร},แขวงบางขุนเทียน,เขตจอมทอง,11
2022-H3C39Z,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/4d25b8cefeb06ba5397dfd48ef89c463919447e1.jpg,13.85522,100.86262,2022-05-31 10:08:16.683575+00:00,"{จราจร,ถนน}",แขวงกระทุ่มราย,เขตหนองจอก,6
2022-EXKEMD,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/475ad246143878d3e16e38034b5a723b1b27706e.jpg,13.71083,100.40942,2022-05-31 10:21:36.714501+00:00,"{ถนน,จราจร}",แขวงบางแค,เขตบางแค,17
2022-NKGWVB,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/341aef9882b988758f73ac1b40033bb1d5cd8d1b.jpg,13.83793,100.70439,2022-05-31 10:40:35.303720+00:00,{จราจร},แขวงบางชัน,เขตคลองสามวา,13
2022-P9YN8U,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/7f9e09a7a4d49cf2be3183cc05a36777de41b45a.jpg,13.78425,100.57401,2022-05-31 10:45:22.417482+00:00,"{ถนน,จราจร}",แขวงดินแดง,เขตดินแดง,6
2022-F4TT7B,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/c0a93832a63d228766d2430890d7d2ef0ea23f33.jpg,13.74354,100.54753,2022-05-31 11:11:47.173342+00:00,"{จราจร,ต้นไม้,ถนน}",แขวงลุมพินี,เขตปทุมวัน,2
2022-79RLNN,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/26269c9c153e4bfb88a974ba9409ed4c2b545ed1.jpg,13.82313,100.67401,2022-05-31 11:33:22.053049+00:00,{จราจร},แขวงรามอินทรา,เขตคันนายาว,5
2022-7C949M,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/010111be56a4fa3d14d10f5d0701bbfc35f7800c.jpg,13.66975,100.50524,2022-05-31 11:38:57.433011+00:00,{จราจร},แขวงราษฎร์บูรณะ,เขตราษฎร์บูรณะ,6
2022-6BUH8H,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/5e901f7c780cfb40c59bd044683ec07b9291ed29.jpg,13.72544,100.59599,2022-05-31 11:49:07.813456+00:00,"{จราจร,ถนน}",แขวงพระโขนงเหนือ,เขตวัฒนา,5
2022-83BBB7,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/79f4caabd9f1d61f4030cf9091feec08f58539ca.jpg,13.82063,100.59636,2022-05-31 11:58:58.302114+00:00,{จราจร},แขวงลาดพร้าว,เขตลาดพร้าว,5
2022-HMPNLU,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/3eaeaac32a8cb4b01eb38ff292ce90642a05e18f.jpg,13.86203,100.72212,2022-05-31 12:03:59.604693+00:00,"{ถนน,จราจร}",แขวงบางชัน,เขตคลองสามวา,6
2022-G32XC3,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/4ea3761435563e14857fe8cc268e1c2d32d22f40.jpg,13.76786,100.64262,2022-05-31 12:12:46.119879+00:00,{จราจร},แขวงคลองจั่น,เขตบางกะปิ,2
2022-8RUUW7,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/bfa062b07c741f3f047ec5ccf3a91385e9b98768.jpg,13.69699,100.54484,2022-05-31 12:29:51.558809+00:00,{จราจร},แขวงช่องนนทรีย์,เขตยานนาวา,2
2022-4LRNQF,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/85148e2501354cddc646ee82e911b16a07ff8fca.jpg,13.79796,100.54124,2022-05-31 13:34:42.559258+00:00,"{ถนน,จราจร}",แขวงจตุจักร,เขตจตุจักร,13
2022-D6QM83,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/b107624763e905b2e125656a20adb50004be341d.jpg,13.75996,100.62021,2022-05-31 14:49:35.181454+00:00,"{ถนน,ทางเท้า,จราจร}",แขวงหัวหมาก,เขตบางกะปิ,2
2022-K7CLH6,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/029a39557c2e8b43e77db2b12820bc4f3f6e6797.jpg,13.75922,100.53528,2022-05-31 15:17:46.430883+00:00,"{จราจร,ถนน,ความปลอดภัย}",แขวงถนนพญาไท,เขตราชเทวี,5
2022-HRZGY3,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/7d1fe4e6ff9feb7cdddc0d6d439c5c82a74a8ea1.jpg,13.73645,100.63299,2022-05-31 16:11:47.889948+00:00,{จราจร},แขวงสวนหลวง,เขตสวนหลวง,2
2022-EB9YU7,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/8c9d400c3a631df51cba567c46ec6f22147b2ddf.jpg,13.74228,100.60138,2022-05-31 16:31:22.586845+00:00,{จราจร},แขวงสวนหลวง,เขตสวนหลวง,4
2022-NYXVVN,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/9eeeba4dc9ec597f2622b7561e47c970cb0854c6.jpg,13.70948,100.60108,2022-05-31 17:05:09.297013+00:00,{จราจร},แขวงพระโขนงเหนือ,เขตวัฒนา,3
2022-FN3ZQX,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/c42dba057069af982bcc4b1a05c61f1ed4d2ad37.jpg,13.80353,100.51259,2022-06-01 00:22:05.082020+00:00,"{จราจร,ความปลอดภัย}",แขวงบางอ้อ,เขตบางพลัด,5
2022-L7GC9Y,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/fa89690413dd4e1114134cdffdfe5d672e80c65a.jpg,13.71893,100.56245,2022-06-01 00:30:31.695813+00:00,"{ถนน,จราจร}",แขวงคลองเตย,เขตคลองเตย,11
